05/17/21 23:03:46:951 | [INFO] |  |  |  | GCValidator |  |  | 9022 | writing data to GC started
05/17/21 23:03:46:951 | [INFO] |  |  |  | GCValidator |  |  | 9022 | Checking permissions of the file at path /Library/Application Support/Adobe/AdobeGCClient/AdobeGenuineValidatorAnalytics.json
05/17/21 23:03:46:952 | [INFO] |  |  |  | GCValidator |  |  | 9022 | writing data to GC ended
05/17/21 23:03:46:952 | [INFO] |  |  |  | GCValidator |  |  | 9022 | Terminal command launched
05/17/21 23:03:46:952 | [INFO] |  |  |  | GCValidator |  |  | 9022 | launchctl list | grep Adobe_Genuine_Software_Integrity_Service
05/17/21 23:03:46:960 | [INFO] |  |  |  | GCValidator |  |  | 9022 | Terminal result recieved
05/17/21 23:03:46:960 | [INFO] |  |  |  | GCValidator |  |  | 9022 | 
05/17/21 23:03:46:960 | [ERROR] |  |  |  | GCValidator |  |  | 9022 | Global Error Code:0
05/17/21 23:03:48:122 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 9152 | AdobeGCInvokerUtility : inside getLatestGCApplication
05/17/21 23:03:48:437 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9152 | ***********AdobeGC Updater library invoked = 7.3.0.197 ************
05/17/21 23:03:48:437 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9152 | Perform WF started
05/17/21 23:03:48:438 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9152 | Perform WF completed
05/17/21 23:03:48:438 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 9152 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
05/17/21 23:03:48:447 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Trying to acquire the semaphore
05/17/21 23:03:48:447 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Semaphore acquired
05/17/21 23:03:48:447 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Threaded CFU Started
05/17/21 23:03:48:447 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9220 | Get client install path Started
05/17/21 23:03:48:448 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9220 | Get client install path Ended
05/17/21 23:03:48:448 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Client sanitization started
05/17/21 23:03:48:448 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 9220 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/17/21 23:03:53:218 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 9220 | Status returned is 0 
05/17/21 23:03:53:218 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 9220 | Code signature is OK. 
05/17/21 23:03:53:218 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 9220 | Completed VerifyCodeSign. 
05/17/21 23:03:53:221 | [INFO] |  |  |  | AdobeGCVersionWrapper |  |  | 9220 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/17/21 23:03:53:226 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Client sanitization ended
05/17/21 23:03:53:227 | [INFO] |  |  |  | AdobeGCClientHealthUtil |  |  | 9220 | Checking CEF dependencies
05/17/21 23:03:53:227 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Threaded CFU Ended
05/17/21 23:03:53:227 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 9220 | Semaphore signalled
05/17/21 23:03:53:507 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 9152 | AdobeGCInvokerUtility :  AdobeGC_CFUCallbackFn is invoked
05/17/21 23:03:53:508 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 9152 | AdobeGCInvokerUtility : inside invokeGCApplication.
05/17/21 23:03:53:509 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9152 | ***********AdobeGC Updater library invoked = 7.3.0.197 ************
05/17/21 23:03:53:509 | [DEBUG] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Trying to acquire the semaphore
05/17/21 23:03:53:509 | [DEBUG] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Semaphore acquired
05/17/21 23:03:53:509 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Perform WF started
05/17/21 23:03:53:519 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | isOOCTargeted flag read
05/17/21 23:03:53:521 | [ERROR] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Time flag read
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | GCInvokerNextClientLaunchTimestamp from cache 1621300045
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | GCInvokerNextClientLaunchTimestamp cached 1621300045 , curr 1621263833 res = 0
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Invocation agent is GC Invoker Utility at logon and time is not elapsed 
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Not invoking client
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Perform WF completed
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 9152 | Semaphore signalled
05/17/21 23:03:53:522 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 9152 | ***********AdobeGC Updater library End*******************
05/17/21 23:03:53:522 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 9152 | AdobeGCInvokerUtility : AdobeGC_ReleaseRef called.
05/17/21 23:03:57:920 | [INFO] |  |  |  | AGMService |  |  | 9139 | Initializing Directory Watcher.
05/17/21 23:03:57:969 | [INFO] |  |  |  | AGMService |  |  | 9139 | Stream created for path /Users
05/17/21 23:03:57:971 | [INFO] |  |  |  | AGMService |  |  | 9814 | Process Creation Monitoring enabled...
05/17/21 23:05:08:318 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/17/21 23:05:52:827 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 11:09:25:153 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 11:09:52:525 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 11:12:53:313 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
05/18/21 15:13:58:431 | [INFO] |  |  |  | AGMService |  |  | 9139 | Launch Callback received
